"Data/CV Fold","Logistic (Cutoff .5) Method 1","Logistic (Cutoff .5) Method 2"
"Test",0.0903092126235257,0.106067656556256
"Average Folds",0.0821349083443231,0.116596413248298
"1",0.0500924660287851,0.0872634643377001
"2",0.0483393841602797,0.100402761795167
"3",0.0900205761316872,0.0422332282755516
"4",0.0806112178607375,0.0616327474560592
"5",0.0752444023967203,0.110007880220646
"6",0.11893442004377,0.12826223119215
"7",0.220180661055225,0.0570502041796781
"8",0.0322522684394933,0.297167290219134
"9",0.00253702687877126,0.177760063770426
"10",0.103136660447761,0.104184261036468
