"Data/CV Fold","LDA Method 1","LDA Method 2"
"Test",0.087217086388269,0.198147129743221
"Average Folds",0.118422981197124,0.123797791367362
"1",0.0470151102303691,0.0871906841339156
"2",0.0643512775986108,0.107738780207135
"3",0.0942463819272856,0.0421431787483116
"4",0.190175885211757,0.0608233117483811
"5",0.0980529396793077,0.118991331757289
"6",0.126973480548963,0.144964854895957
"7",0.111045759322433,0.0553687244775402
"8",0.132310276378073,0.318368074113665
"9",0.191363157602971,0.191909127142288
"10",0.128695543471467,0.110479846449136
