"Data/CV Fold","QDA Method 1","QDA Method 2"
"Test",0.100446286260759,0.168112018274885
"Average Folds",0.0913112484352508,0.102238216439711
"1",0.0769478169976682,0.0699417758369724
"2",0.0340863251311012,0.0876006904487917
"3",0.122222222222222,0.0389914452949122
"4",0.148778479275323,0.035268270120259
"5",0.0791548407442447,0.103624901497242
"6",0.0805222247377556,0.0958313035005915
"7",0.249435434202423,0.0396348786932501
"8",0.0355763183900818,0.25930874755033
"9",0.00418266593527153,0.172180151454763
"10",0.0822061567164179,0.12
