"","Data/CV Fold","Logistic (Cutoff .5) Method 1","Logistic (Cutoff .5) Method 2","LDA Method 1","LDA Method 2","QDA Method 1","QDA Method 2","SVM Method 1","SVM Method 2","knn.Method.1","knn.Method.2"
"1","Test",0.0903092126235257,0.106067656556256,0.087217086388269,0.198147129743221,0.100446286260759,0.168112018274885,0.0718839655722027,0.111990072902125,0.107204335352247,0.18642920597318
"2","Average Folds",0.0821349083443231,0.116596413248298,0.0788279321239723,0.123797791367362,0.0913112484352508,0.102238216439711,0.0666909488121914,0.126668164933835,0.0997736920109094,0.184874360969272
"3","1",0.0500924660287851,0.0872634643377001,0.0445445043016805,0.0871906841339156,0.0769478169976682,0.0699417758369724,0.00662251655629139,0.0745341614906832,0.0998185117967332,0.179930795847751
"4","2",0.0483393841602797,0.100402761795167,0.0467258303079199,0.107738780207135,0.0340863251311012,0.0876006904487917,0.0558659217877095,0.121212121212121,0.0385208012326656,0.22027972027972
"5","3",0.0900205761316872,0.0422332282755516,0.0805555555555556,0.0421431787483116,0.122222222222222,0.0389914452949122,0.0352112676056338,0.0354609929078014,0.0918803418803419,0.142857142857143
"6","4",0.0806112178607375,0.0616327474560592,0.0745722389971635,0.0608233117483811,0.148778479275323,0.035268270120259,0.0413793103448276,0.0671641791044776,0.161943319838057,0.142857142857143
"7","5",0.0752444023967203,0.110007880220646,0.0685588142541785,0.118991331757289,0.0791548407442447,0.103624901497242,0.0655737704918033,0.107784431137725,0.119469026548673,0.171681415929204
"8","6",0.11893442004377,0.12826223119215,0.117802430005283,0.144964854895957,0.0805222247377556,0.0958313035005915,0.125714285714286,0.173913043478261,0.107317073170732,0.187599364069952
"9","7",0.220180661055225,0.0570502041796781,0.220180661055225,0.0553687244775402,0.249435434202423,0.0396348786932501,0.202702702702703,0.0827067669172932,0.225263157894737,0.133333333333333
"10","8",0.0322522684394933,0.297167290219134,0.0284790225496362,0.318368074113665,0.0355763183900818,0.25930874755033,0.0131578947368421,0.289855072463768,0.0510805500982318,0.237424547283702
"11","9",0.00253702687877126,0.177760063770426,0.00267416346681295,0.191909127142288,0.00418266593527153,0.172180151454763,0.00568181818181818,0.205479452054795,0.0157232704402516,0.184873949579832
"12","10",0.103136660447761,0.104184261036468,0.104186100746269,0.110479846449136,0.0822061567164179,0.12,0.115,0.108571428571429,0.0867208672086721,0.247906197654941
