"Data/CV Fold","SVM Method 1","SVM Method 2"
"Test",0.0718839655722027,0.122410705472595
"Average Folds",0.0690488887920389,0.125370678279638
"1",0.105882352941176,0.09375
"2",0.0532544378698225,0.0747663551401869
"3",0.0828025477707006,0.21830985915493
"4",0.0923913043478261,0.0571428571428571
"5",0.0677966101694915,0.135802469135802
"6",0.0363636363636364,0.11377245508982
"7",0.037037037037037,0.136645962732919
"8",0.03125,0.272058823529412
"9",0.161971830985915,0.0530973451327434
"10",0.0217391304347826,0.0983606557377049
